Citations,Auteur,Source,Thèmes,Nombre d'avis,Notes
"“En voyage, comme dans le reste de la vie, ce long voyage, le plaisir, paie l’énergie.”",Paul Guth,Lettres à votre fils qui en a ras-le-bol,Voyage,,
"“Ce qui importe, ce n'est pas le voyage, c'est celui avec lequel on voyage.”",Jean-Luc Gendry,"Ne m'embrassez pas, ce serait trop grave",Voyage,,
"“Certes, un rêve de beignet, c’est un rêve, pas un beignet. Mais un rêve de voyage, c’est déjà un voyage.”",Marek Halter,,Voyage,,
"“Le vrai voyage, c’est d’y aller. Une fois arrivé, le voyage est fini. Aujourd’hui les gens commencent par la fin.”",Hugo Verlomme,Transfert - janvier 1999,Voyage,,
"“Certains pensent qu'ils font un voyage, en fait, c'est le voyage qui vous fait ou vous défait.”",Nicolas Bouvier,L'usage du monde,Voyage,,
"“On voyage pour changer, non de lieu, mais d'idées.”",Hippolyte Taine,,Voyage,,
“Le voyageur est encore ce qui importe le plus dans un voyage.”,André Suarès,,Voyage,,
"“Dans un voyage, le plus long est d'arriver à la porte.”",Varron,,Voyage,,
“Le voyage n'est nécessaire qu'aux imaginations courtes.”,Colette,,Voyage,,
“Toute la vie n'est qu'un voyage vers la mort. ”,Sénèque,,Voyage,,
“Le voyage le plus long est celui qui nous amène au-dedans de nous.”,Anonyme,,Voyage,,
"“Faire demi-tour, c'est une mauvaise manière de poursuivre un voyage.”",Per Olof Sundman,L'Expédition,Voyage,,
“Un voyage de mille lieues commence toujours par un premier pas.”,Lao-Tseu,Tao Te King,Voyage,,
"“Plus on voyage au loin, moins on se connaît.”",Lao-Tseu,Tao Te King,Voyage,,
“Le secret du voyage est dans l'attente et nulle part ailleurs.”,Victor-Lévy Beaulieu,Satan Belhumeur,Voyage,,
“Il vaut mieux ne pas faire le voyage que s’arrêter en chemin.”,Michel Polac,Hors de soi,Voyage,,
"“Vivre, c'est cheminer le temps d'un court voyage.”",Francisco de Quevedo,Sonnets,Voyage,,
"“En voyage, on s'emmène avec soi, hélas.”",Michelle Guérin,Le sentier de la Louve,Voyage,,
"“A la maison, on compte sur sa mère, en voyage, on compte sur les murs.”",Proverbe chinois,,Voyage,,
“La vie ? Le voyage vaut la peine d'être fait une fois.”,Winston Churchill,,Voyage,,
“Un voyage est une opération qui fait correspondre des villes à des heures.”,Paul Valéry,,Voyage,,
"“Le plus beau voyage, c'est celui qu'on n’a pas encore fait.”",Loïck Peyron ,,Voyage,10,4
"“Ah, les Français, ça voyage mal, c'est comme le camembert !”",Claude Zidi,Banzaï,Voyage,,
“Le voyage est une passion autant que l’ambition ou l’amour.”,L.E. Landon,Romance and reality,"Voyage, Passion",,
“L’impulsion du voyage est l’un des plus encourageants symptômes de la vie.”,Agnes Repplier,Times and tendencies,Voyage,,
“Le voyage n'est pas une femme. Il ne veut pas de la contemplation.”,Henri Michaux,Passages,Voyage,,
“Le voyage est court. Essayons de le faire en première classe.”,Philippe Noiret,,Voyage,,
“Vous pensez échapper à vos problèmes en partant en voyage - et ils partiront derrière vous.”,Stanislaw Ignacy Witkiewicz,L'Adieu à l'automne,Voyage,,
“Un voyage en avion : quelques heures d'ennui coupées de quelques minutes de trouille intense.”,Al Boliska,,Voyage,,
“L'enfance est un voyage oublié.”,Jean de La Varende,Le Centaure de Dieu,Voyage,,
"“La géographie, ça sert à se repérer quand on voyage dehors.”",Elisabeth Vonarburg,Chroniques du pays des mères,Voyage,,
"“Le voyage, comme l'amour, représente une tentative pour transformer un rêve en réalité.”",Alain de Botton,Petite philosophie de l'amour,Voyage,,
“Quiconque a bu une tasse de chocolat résiste à une journée de voyage.”,Johann Wolfgang von Goethe,,Voyage,,
"“Le Parisien n’a rien contre le bon accueil, mais seulement en voyage.”",Alain Schifres,Les Parisiens,Voyage,,
“Il est plus facile de trouver un compagnon de voyage que de s’en débarrasser.”,Art Buchwald,Vogue - 1954,Voyage,,
"“Une carte routière, c'est un voyage qu'on ne fait pas.”",Jean Cavé,Une femme d’esprit,Voyage,,
"“La rupture est faite, l'amour s'est envolé : bon voyage !”",George Sand,Monsieur Sylvestre (1866),Voyage,,
“Le crime paie. On ne fait pas beaucoup d’heures et on voyage beaucoup.”,Woody Allen,Prends l'oseille et tire-toi,Voyage,,
“La mémoire n'est-elle pas un voyage dans le temps ?”,Jacques Lacarrière,Le Monde de l'éducation - Juillet - Août 2001,Voyage,,
"“Dans un voyage, le plus long est de franchir le seuil.”",Proverbe romain,,Voyage,,
"“Comme tout ce qui compte dans la vie, un beau voyage est une oeuvre d'art.”",André Suarès,Le voyage de Condottière,Voyage,,
"“En vérité, je ne voyage pas, moi, pour atteindre un endroit précis, mais pour marcher : simple plaisir de voyager.”",Robert Louis Stevenson,Voyage avec un âne dans les Cévennes,Voyage,,
“Tous les pays se ressemblent. Tous les amours sont une invitation au voyage. Ce sont les voyages seuls qui diffèrent.”,Jean-Raymond Boudou,Une heure de ta vie,Voyage,,
"“Quand on ne voyage qu'en passant, on prend les abus pour les lois du pays.”",Voltaire,Le Sottisier,Voyage,,
“Je ne voyage jamais sans mes mémoires. Il faut toujours avoir quelque chose de sensationnel à lire dans le train.”,Oscar Wilde,,Voyage,,
“Il y en a qui ont le coeur si vaste qu'ils sont toujours en voyage.”,Jacques Brel,,Voyage,,
"“Le but de notre voyage, de notre quête est de parvenir à percer le mystère des choses de la vie.”",Proverbe africain,,Voyage,,
"“Veux-tu vivre heureux ? Voyage avec deux sacs, l'un pour donner, l'autre pour recevoir.”",Johann Wolfgang von Goethe,,Voyage,,
“On ne saurait emporter en voyage un fardeau plus précieux qu'une provision de bon sens.”,Anonyme,Chants de l'Edda,Voyage,,
“On voyage autour du monde à la recherche de quelque chose et on rentre chez soi pour le trouver.”,George Moore,,Voyage,,
"“Essayez, si vous le pouvez, d'arrêter un homme qui voyage avec son suicide à la boutonnière.”",Jacques Rigaut,Pensées,Voyage,,
"“Les amis sont des compagnons de voyage, qui nous aident à avancer sur le chemin d’une vie plus heureuse.”",Pythagore ,,Voyage,12,4
"“On revient de sa jeunesse comme d'un pays étranger. Le poème, le livre est la relation du voyage.”",Federico Garcia Lorca,,Voyage,,
“Pénélope était la dernière épreuve qu'Ulysse eut à subir à la fin de son voyage.”,Anonyme,,Voyage,,
“Le bateau qui ne résiste pas à la première tempête n'est pas fait pour le voyage.”,Moses Isegawa,Chroniques abyssiniennes,Voyage,,
"“La première découverte que l’on fait quand on voyage, c’est que l’on n’existe pas.”",Elizabeth Hardwick,Nuit sans sommeil,Voyage,,
"“Quand quelqu’un se rend compte que sa vie ne vaut rien, soit il se suicide, soit il voyage.”",Edward Dalhberg,Reasons of the Heart,Voyage,,
“Je fais partie de ceux qui ne connaissent jamais la direction de leur voyage avant d’être presque arrivés.”,Anna Louise Strong,I change worlds,Voyage,,
"“Quand leurs amis sont en voyage, ceux qui sont restés à la maison doivent prendre soin de leurs intérêts.”",Euripide,Andromaque,Voyage,,
"“En voyage, on a besoin d'un compagnon et dans la vie, de compassion. ”",Haruki Murakami,Kafka sur le rivage,Voyage,,
"“Quand je voyage dans le monde, les gens retiennent surtout que j'ai pissé dans un avion”",Gérard Depardieu,"France Inter, 15 juin 2015",Voyage,,
"“Quand on voyage sans connaître l’anglais, on a l’impression d’être sourd-muet et idiot de naissance.”",Philippe Bouvard,Maximes au minimum,Voyage,,
"“Il faut que la pensée voyage et contemple, si l'on veut que le corps soit bien.”",Alain,Propos sur le bonheur,Voyage,,
"“Commencer un livre, ce sont les ténèbres à traverser. Pis encore, c'est un voyage au pays des morts.”",Françoise Lefèvre,Souliers d'automne,Voyage,,
“Rien n'est plus propice qu'un voyage pour sonder tous les aspects merveilleux de l'imprévu.”,Jean-Raymond Boudou,Une heure de ta vie,Voyage,,
“Pourquoi un employé de la SNCF voyage-t-il gratuitement alors qu'un employé des PTT paie ses timbres ?”,Jean Amadou,Journal d'un bouffon,Voyage,,
"“On ne peut pas apprendre à quelqu’un à être écrivain, c’est un voyage qu’il doit accomplir seul.”",Junot Diaz,Evene.fr - Mars 2009,Voyage,,
"“N'importe quel voyage fait que les choses changent : matières, fonctions, emplacements, manières d'être.”",Roger-Pol Droit,"Dernières nouvelles des choses, 2003",Voyage,,
“Le mariage est et restera le voyage de découverte le plus important que l’homme puisse entreprendre.”,Sören Kierkegaard,Propos sur le mariage,Voyage,,
"“Le véritable voyage de découverte ne consiste pas à chercher de nouveaux paysages, mais à avoir de nouveaux yeux.”",Marcel Proust ,,Voyage,102,4
“La lumière voyage plus vite que le son. C’est pourquoi certaines personnes paraissent brillantes jusqu’à ce qu’elles commencent à parler.”,Anonyme,,Voyage,,
“L'homme a pour conducteur le discernement et pour rênes la pensée parvient à l'autre rive de son voyage.”,Anonyme,Katha Upanishad,Voyage,,
"“Moi, le seul voyage qui m'intéresse, c'est la mort. Parce qu'on ne rapporte pas de diapos.”",Georges Wolinski,,Voyage,,
“Un voyage prouve moins de désir du pays où l’on va que d’ennui du pays que l’on quitte.”,Alphonse Karr,,Voyage,,
"“L'amour n'est pas ce qui mène le monde,. c'est ce qui fait que le voyage en vaut la peine.”",Anonyme,,Voyage,,
"“Le temps n'appartient à personne. Ballet d'étoiles insaisissables. Instant présent, tu es l'essence du voyage.”",Mylène Farmer,Vertige,Voyage,,
“Le voyage à pied est une ouverture au monde qui invite à l’humilité et à la saisie avide de l’instant.”,Philippe Montillier,Sérénité,Voyage,,
"“Un voyage s'inscrit simultanément dans l'espace, dans le temps, et dans la hiérarchie sociale.”",Claude Lévi-Strauss,Tristes Tropiques,Voyage,,
"“Tout est musique. Un tableau, un paysage, un livre, un voyage ne valent que si l'on entend leur musique.”",Jacques de Bourbon Busset,,Voyage,,
“Le voyage est une espèce de porte par où l'on sort de la réalité comme pour pénétrer dans une réalité inexplorée qui semble un rêve.”,Guy de Maupassant,Au soleil,Voyage,22,4
"“Pour que votre voyage de noces soit un succès total sur le plan touristique, sentimental et sexuel, la première chose à faire est de partir seul.”",Pierre Desproges,,Voyage,,
“Un diplomate est quelqu'un qui peut vous dire d'aller au diable de telle manière qu'il vous tarde de faire le voyage.”,Caskie Scinnet,Out of the red,Voyage,,
"“L'amour, tout comme la mort, est une étape du voyage où on arrive tous, un jour ou l'autre.”",Plume Latraverse,Contes gouttes ou le pays d'un reflet,Voyage,,
"“Le roman rend aussi le silence : ce qui se dit lorsqu'il ne se dit rien, et là-dedans chacun voyage.”",Daniel Pennac,Entretien avec Marianne Payot - Mai 1995,Voyage,,
"“L’un des grands avantages d’un voyage (en Afghanistan), c’est que, si l’on sait attendre, il se produit quelque chose.”",Eric Newby,Un petit tour dans l'Hindou Kouch,Voyage,,
“Le voyage s’allonge et par moment il semble qu’il ne prendra fin qu’avec la vie ; on se sent une chose passive emportée sans pouvoir.”,Ella Maillart,Cette Réalité que j’ai pourchassée,Voyage,,
"“A propos du voyage : on peut très bien retourner quelque part et, contre toute attente, se rencontrer soi-même, s’attardant encore là depuis la dernière fois.”",Helen Bevington,When found,Voyage,,
“Je dépense tellement de fric pour raconter mes vacances à mes amis que ça me coûterait moins cher de leur payer le voyage.”,Philippe Geluck,Le Chat,Voyage,,
"“Le meilleur moment, le meilleur voyage, c’est le sommeil, dans le noir sous  une couverture et à l’abri du noir.”",Diana Evans,26a,Voyage,,
“Le leadership est une force qui encourage les participants d’un voyage à passer de l’état de passager à celui d’acteur d’une aventure. ”,Chris Viehbacher,Leadership d'Eric-Jean Garcia,Voyage,,
"“Le voyage est une fuite contre la routine, la monotonie, la familiarité, la soumission à la régulation du gouvernement collectif.”",Sylvain Tesson,"Lire, 1er janvier 2015",Voyage,,
“La vérité n'est pas un ensemble de faits qu'on peut énumérer. C'est un paysage nocturne à travers lequel on voyage.”,André Brink,"Au plus noir de la nuit, 1978",Voyage,,
"“Le vrai domicile de l’homme n’est pas une maison mais la route, et la vie elle-même est un voyage à faire à pied.”",Bruce Chatwin,Qu'est-ce que je fais là ?,Voyage,,
"“Le seul véritable voyage, le seul bain de jouvence, ce ne serait pas d'aller vers de nouveaux paysages, mais d'avoir d'autres yeux.”",Marcel Proust,"""Le voyage contraint à ne pas tricher"", 2010",Voyage,,
"“Autrefois, on emmenait sa secrétaire en voyage en la faisant passer pour sa femme ; aujourd’hui, avec le régime des notes de frais, on emmène sa femme en la faisant passer pour sa secrétaire.”",André Guillois,,Voyage,,
"“L'une des choses que j'apprécie le plus quand je voyage à l'étranger, c'est de penser que je vais retourner en France.”",Pierre Daninos,,Voyage,,
"“Vieillir, c'est découvrir la transparence, brûler les frontières, fondre les limites, abattre les paravents.... Y-a-t-il plus passionnant voyage que celui de la vie ? Jusqu'à la mort incluse ?”",Maria Casarès,Résidence privilégiée,Voyage,,
"“Le matin : une heure de décision, d'élan, d'enthousiasme, une heure qui rend à l'homme la fraîcheur de sa volonté ; un départ ; un début de voyage !”",Gabrielle Roy,Alexandre Chenevert,Voyage,,
"“Comme il y a des fièvres qui viennent et partent au rythme du voyage, il y a des paroles et des pensées qui jugent et condamnent au rythme de la vie.”",Marie-Claire Blais,Le jour est noir,Voyage,,
"“Partir, c'est mourir un peu. Poursuivre le voyage, c'est peut-être ressusciter. Le vrai voyageur, c'est celui qui jamais ne tente de revenir en arrière.”",Jacques Renaud,En d'autres paysages,Voyage,,
"“L’euro, c’est ultrasimple, c’est comme quand on voyage à l’étranger, en trois jours, on s’habitue à compter dans la monnaie locale. Sauf que là, on reviendra jamais de vacances.”",Anne Roumanoff,L’Euro,Voyage,,
“Le but du voyage n’est pas de poser le pied sur une terre étrangère. C’est finalement de poser le pied dans son propre pays comme s’il s’agissait d’une terre étrangère.”,Gilbert Keith Chesterton,Tremendous Trifles,Voyage,,
“Il faut que je trouve une forme de voyage initiatique qui fait que j'aborde à chaque fois des genres différents. C'est comme ça que je me nourris... ”,Pierre Jolivet,,Voyage,,
"“Le problème de «Voyage au bout de la nuit» de Céline est que ce livre est dangereux. Une fois qu’on l’a lu, qu’est-ce qu’on lit après?”",Jean-Paul Rouve,Livrehebdo.fr le 4 janvier 2015,Voyage,,
"“Le seul voyage qui vaille est celui que nous faisons là où nous sommes, toutes écoutilles au vent, quand notre but n'est pas de conquérir le monde mais d'être conquis par lui.”",Francis Cabrel,"""Les cardinaux en costume""",Voyage,,
"“Un film, c'est comme un voyage. On plonge, on s'imbibe et l'on finit par s'apercevoir que certaines choses sont plus fortes que d'autres.”",Denis Villeneuve,"Le Figaro, 20 mai 2015",Voyage,,
"“Le seul avec qui j'aurais pu jouer toute ma vie, c'était Miles Davis. Il m'a appris que la musique était un voyage solitaire dans un désert inexploré. ”",Prince,"L'Express, 19 octobre 2006",Voyage,,
"“Le sionisme est une voie, ça n'est pas un aboutissement. C'est un voyage. Lorsqu'on arrive à destination, c'est le post-sionisme. ”",Shimon Peres,Le Figaro - 29 avril 1998,Voyage,,
"“""Lire, c'est voyager ; voyager, c'est lire.""”",Victor Hugo,Choses vues,Voyage,16,3
"“On devrait apprendre la patience dans un pays étranger, car c’est là la vraie mesure du voyage. Si l’on ne souffre pas de la frustration de ses habitudes, comment peut-on être certain que l’on est vraiment en train de voyager ?”",Gertrude Diamant,The Days of Ofelia,Voyage,,
"“Avec le temps, la passion des grands voyages s'éteint, à moins qu'on n'ait voyagé assez longtemps pour devenir étranger à sa patrie.”",Gérard de Nerval,Les Nuits d'octobre,Voyage,,
"“La chanson ça fait voyager et, comme les voyages, la chanson forme la jeunesse.”",Liliane Goulet et Pauline Levesque,En remuant le sable dans ma cour,Voyage,,
"“Le travail d’un acteur, c’est de voyager dans l’imagination et de pouvoir voyager dans ses sentiments.”",Marta Etura,Evene.fr - Février 2007,Voyage,,
"“Les touristes ont horreur de regarder. L’appareil regarde pour eux. Quand ils ont fait clic-clac, ils sont apaisés, ils ont amorti leur voyage. Les piles de photos qu’ils conservent sont autant de diplômes certifiant qu’ils se sont déplacés.”",Jean Dutourd,,Voyage,,
"“Le voyage pour moi, ce n'est pas arriver, c'est partir. C’est l'imprévu de la prochaine escale, c'est le désir jamais comblé de connaître sans cesse autre chose, c'est demain, éternellement demain.”",Roland Dorgelès,,Voyage,,
"“Le mariage, c'est comme un long voyage en mer pendant lequel il faut être suffisamment habile pour passer le cap dans la tempête. L'idéal est d'arriver, poussé par le bon vent, dans la baie de tranquillité.”",Nadine de Rothschild,"Femme un jour, femme toujours",Voyage,,
"“Quand on voyage vers un objectif, il est très important de prêter attention au chemin. C'est toujours le chemin qui nous enseigne la meilleure façon d'y parvenir, et il nous enrichit à mesure que nous le parcourons.”",Paulo Coelho,Le Pèlerin de Compostelle,Voyage,,
"“Quand une femme est la douceur et le trouble, l'amusement et la gravité, la nouveauté et la mémoire, le voyage et la demeure... Quel homme digne de ce nom refuse ce miracle et choisit de fuir en invoquant l'inconfort d'aimer ?”",Erik Orsenna,Le Monde de l'éducation - Juillet - Août 2001,Voyage,,
“Ce qui reste de tous les voyages est le parfum d’une rose fanée...”,Cavidan Tumerkan,Voyage,Voyage,,
“Il y a de grands voyages qu’on ne fait bien qu’en pantoufles.”,Jean Sarment,,Voyage,,
“Patience passe science.”,Proverbe,,Patience,13,3
"“Pas de patience, pas de science.”",Jean-Pierre Jarroux,,Patience,12,3
“La patience adoucit tout mal sans remède.”,Horace,Odes,Patience,16,4
“La patience est la vertu des mendiants.”,Philip Massinger,A new way to pay old debts,Patience,,
“La patience est presque l'amour.”,André Pronovost,Les marins d'eau douce,Patience,,
“Les meilleures choses ont besoin de patience.”,Jean Anglade,Le Temps et la paille,Patience,,
“La patience est une vertu qui s’acquiert avec de la patience.”,Alessandro Morandotti ,,Patience,22,3
“La patience est la clé du bien-être.”,Mahomet ,,Patience,59,4
“On vient à bout de ses desseins avec la patience.”,Proverbe oriental ,,Patience,11,4
“Un instant de patience est déjà une victoire.”,Abi Taleb ,,Patience,19,4
“Le découragement est beaucoup plus douloureux que la patience.”,Hafiz ,,Patience,11,4
“La patience est la plus grande des prières.”,Bouddha,,Patience,,
“La patience est le sourire de l'âme.”,Philippe Obrecht,,Patience,,
“Le papier a plus de patience que les gens.”,Anonyme,,Patience,8,3
“La patience est le fruit de la foi.”,Hazrat Ali,,Patience,,
“La patience est une vertu de petit-bourgeois.”,Arne Garborg,Hommes fatigués,Patience,,
"“Au bout de la patience, il y a le ciel.”",Proverbe africain,,Patience,75,4
"“Ô Seigneur, accordez-moi la patience, et tout de suite !”",Anonyme,,Patience,,
“La patience a beaucoup plus de pouvoir que la force.”,Plutarque,Vie de Sertorius,Patience,,
“La patience est la mère de la charité.”,Sainte Catherine de Sienne,Lettre au frère Filippo de Vannuccio,Patience,,
“En période de prospérité : prudence ; dans l’adversité : patience.”,Proverbe américain,,Patience,,
"“Patience ! Avec le temps, l'herbe devient du lait.”",Proverbe chinois,,Patience,,
“La patience est la clé de la délivrance.”,Naguib Mahfouz,Impasse des deux palais,Patience,,
“Il faut avoir de la patience pour aimer.”,Marc Levy,Où es-tu ?,"Patience, Aimer",,
"“Patience. Forme mineure de désespoir, déguisée en vertu.”",Ambrose Bierce,Le Dictionnaire du diable,Patience,,
“L'amour et la patience vont obligatoirement ensemble.”,André Pronovost,Les Marins d'eau douce,Patience,,
“Un bon conseil est pour celui qui a bonne patience.”,Maurice-Robert Lalonde,Ailleurs est en ce monde,Patience,,
“La patience et le dévouement sont des vertus de femme.”,René Ouvrard,La fauve,Patience,,
“Rien ne fait autant honneur à une femme que sa patience et rien ne lui fait si peu d'honneur que la patience de son mari.”,Joseph Joubert,Carnets,Patience,,
"“Il ne faut pas avoir de patience, même de celle dont on s'arme. Patience n'est qu'un habit de lenteur.”",Réjean Ducharme,L'Avalée des avalés,Patience,,
"“L'illumination crée la compréhension, la compréhension crée l'amour, l'amour crée la patience, la patience crée l'unité.”",Malcolm X,"Malcolm X : L'homme et son temps, J.H. Clarke, 1990",Patience,,
“La patience rend tolérable ce qu'on ne peut empêcher. ”,Horace,,Patience,,
"“Le meilleur remède pour tous les problèmes, c'est la patience.”",Plaute,,Patience,,
“Il faut une infinie patience pour attendre toujours ce qui n’arrive jamais.”,Pierre Dac,,Patience,,
"“Quand tu es malade, commence par t'armer de patience.”",Zamakhschari,,Patience,,
"“Avec du temps et de la patience, on vient à bout de tout.”",Proverbe français,,Patience,,
"“L’homme sans patience, c’est comme une lampe sans huile.”",Alfred de Musset,,Patience,,
“La patience du consolateur tient à ce qu’il a ses propres embêtements.”,Daniel Pennac,La Petite Marchande de prose,Patience,,
“Il faut avoir beaucoup de patience pour apprendre à être patient.”,Stanislaw Jerzy Lec,Nouvelles pensées échevelées,Patience,,
“Combien pauvres sont ceux qui n'ont point de patience.”,William Shakespeare,Othello,Patience,,
"“On a besoin de patience avec tout le monde, mais particulièrement avec soi-même.”",Saint François de Sales,,Patience,,
"“Le temps, la patience adoucissent les plus cruelles blessures. On peut tout supporter.”",Juliusz Slowacki,,Patience,,
"“Patience et écus sauront t'assouplir, . comme selle et mors la cavale indomptée.”",Sharid de Balkh,,Patience,,
“La patience vient mieux à bout des entreprises que la force.”,Plutarque,Vie des hommes illustres,Patience,,
“La patience consiste à engloutir l'adversité sans même un froncement de sourcils.”,Anonyme,,Patience,,
"“Seigneur, je te prie pour que tu m'accordes la patience. Et tout de suite !”",Oven Arnold,,Patience,,
"“La patience, dans le désastre comme dans l'absence de désastre, demeurer le même.”",Anonyme,,Patience,,
"“Le génie, c'est souvent une longue patience de la part des autres.”",Boris Vian,,Patience,,
"“Qu'ils sont pauvres, ceux qui n'ont pas de patience !”",William Shakespeare,Hamlet,Patience,,
“La patience était la plus grande des vertus des initiés antiques.”,Gérard de Nerval,Voyage en Orient,Patience,,
“On ne meurt pas d'un peu de patience supplémentaire.”,Moses Isegawa,Chroniques abyssiniennes,Patience,,
"“Si tu traites la nasse avec patience, elle ne manquera pas de te nourrir.”",Proverbe des Balari,,Patience,,
"“De toutes les écoles de patience et de lucidité, la création est la plus efficace.”",Albert Camus,,Patience,,
“La patience a des limites. Attendez trop et c'est de la lâcheté.”,Georges Jackson,,Patience,,
"“Le pauvre a la patience de faire bouillir, mais pas celle de laisser refroidir.”",Proverbe scandinave,,Patience,,
"“La patience, c'est comme le chocolat... On n'en a jamais assez !”",Christelle Heurtault,,Patience,,
“La patience rend plus léger les maux que l’on ne peut guérir.”,Guillaume de Chaulieu,Épître,Patience,,
“Un amour sans patience est un amour qui ne peut être éternel.”,Jenny Auguste,,Patience,,
“L’amour se nourrit de patience autant que de désir.”,Amin Maalouf,Le Périple de Baldassare,Patience,,
“La camorra a une mémoire d'éléphant et une patience illimitée.”,Roberto Saviano,"Gomorra, 2007",Patience,,
“Patience et longueur de temps font plus que force ni que rage.”,Jean de La Fontaine,Le Lion et le rat,Patience,,
“Ce qui vient au monde pour ne rien troubler ne mérite ni égards ni patience.”,René Char,Fureur et mystère,Patience,,
“Le génie n'est qu'une plus grande aptitude à la patience.”,Georges-Louis Leclerc de Buffon,,Patience,,
"“Nous pouvons beaucoup apprendre des enfants, par exemple jusqu'où va notre patience.”",Franklin P. Jones,,Patience,,
"“La patience commence avec des larmes, et, à la fin, sourit.”",Ramon Llull,Le livre des mille proverbes,Patience,,
“La patience est une fleur qui ne pousse pas dans tous les jardins.”,John Heywood,Proverbs in the English tongue,Patience,,
"“La fortune, même, récompense avec usure ceux qui ont la patience de l'attendre.”",Baltasar Gracian y Morales,L'Homme de cour,Patience,,
“La vie est une longue patience dont l'amour est le prix !”,Charlotte Savary,Et la lumière fut,Patience,,
"“Le génie est une longue patience, c'est une réflexion de génie pas doué.”",Boris Vian,Textes et chansons,Patience,,
"“Quand on a affaire à la justice, il faut s'armer de patience.”",Adrienne Maillet,"Coeur d'or, coeur de chair",Patience,,
"“La mort s'apprend comme le reste, avec patience, avec peine. Il faut le vouloir.”",Jean-Paul Pinsonneault,Les terres sèches,Patience,,
“Dieu créa la moitié de l'humanité pour exercer la patience de l'autre.”,Berthelot Brunet,Le mariage blanc d'Armandine,Patience,,
“La patience est la sagesse de ceux qui en ont le temps.”,Bertrand Vac,La favorite et le conquérant,"Patience, Sagesse",,
“La réussite est liée à la patience mais elle dépend également de beaucoup de bonne volonté.”,Gilbert Brévart,Le mal de terre,"Patience, Reussite",,
"“Le temps vient à bout de tout, il est la patience en action.”",Reine Malouin,La prairie au soleil,Patience,,
“La patience peut faire germer des pierres à condition de savoir attendre.”,Driss Chraïbi,Une enquête au pays,Patience,,
“Plus la patience est grande et plus belle est la vengeance.”,Massa Makan Diabaté,Le Boucher de Kouta,Patience,,
“Le talent éclôt sur la cendre d'une longue patience.”,Jean Vautrin,Libération - 2 Septembre 2000,Patience,,
"“Plus le champ de la pensée s'élargit, plus la patience et la tolérance augmentent.”",Ostad Elahi,Maximes de guidance,Patience,,
"“Aux maux sans remède, le plus court est de prendre patience.”",David-Augustin de Brueys,Le Grondeur,Patience,,
“La patience joue contre les offenses exactement le même rôle que les vêtements contre le froid.”,Léonard de Vinci,,Patience,,
“La patience est la meilleure amie de l'homme.”,Frank Herbert,"Les yeux d'Heisenberg, 1966",Patience,,
"“La patience moissonne la paix, et la hâte le regret.”",Avicébron,La Source de vie,Patience,,
“On a dit que le génie était une longue patience. Et le mariage donc !”,Alphonse Allais,Le Chat noir - 11 Janvier 1890,Patience,,
"“Pour faire un bon livre, il faut un temps prodigieux et la patience d’un saint.”",Voltaire,Lettre à Madame du Deffant - 1er Novembre 1773,Patience,,
“Tout pouvoir humain est un composé de patience et de temps. Les gens puissants veulent et veillent.”,Honoré de Balzac,Eugènie Grandet,Patience,,
"“La patience est un arbre dont la racine est amère, et dont les fruits sont très doux.”",Proverbe persan ,,Patience,22,4
"“Dans le régime des âmes, il faut une tasse de science, un baril de prudence et un océan de patience.”",Saint François de Sales,,Patience,,
“L'argent est gagné par tous ceux-là qui avec patience et observation vont derrière ceux qui le perdent.”,Benito Pérez Galdos,L'aïeul,Patience,,
“Les limites de la tyrannie sont celles que tolère la patience de ceux qu'elle opprime.”,Frederick Douglass,Lettre à Gerrit Smith,Patience,,
“Pauvres gens ceux qui n’ont pas de patience ! Quelle blessure s’est jamais guérie autrement que par degrés ?”,William Shakespeare,Othello,Patience,,
"“Avec du temps et de la patience, les feuilles de mûrier se transforment en robe de soie.”",Proverbe chinois,,Patience,,
"“Un moment de patience peut préserver de grands malheurs, un moment d'impatience, détruire toute une vie. ”",Proverbe chinois ,,Patience,2,3
"“Il faut gouverner la fortune comme la santé : en jouir quand elle est bonne, prendre patience quand elle est mauvaise.”",François de La Rochefoucauld,,Patience,,
"“La clé de tout est la patience. On obtient une poule en couvant des oeufs, pas en les écrasant.”",Arnold H. Glasgow,,Patience,,
“C'est le temps qui mûrit l'amour. L'amour grandit et se solidifie dans la patience...”,Simone Piuze,Les noces de Sarah,Patience,,
“Qui est dans son tort est toujours assez insolent pour inviter à la patience qui est dans son droit.”,Robert Walser,L'Institut Benjamenta,Patience,,
“Les arbres nous enseignent la patience: ils ne baissent pas les bras à la première tempête venue.”,Carl Beaupré,,Patience,,
"“Quels yeux nous faudra-t-il et quelle patience, ou quelle cécité plutôt pour soudain voir le jour.”",Giuseppe Ungaretti,Innocences et mémoire,Patience,,
“Avec patience et crachat on fait entrer un pépin de calebasse dans le derrière d'un moustique.”,Proverbe créole,,Patience,,
“Patience ! Elles finissent toujours par nous faire une chose qui nous empêche d’avoir de l’estime pour elles.”,Sacha Guitry,,Patience,,
“On n'a pas grand mérite à prendre patience quand on est incapable d'un mouvement de colère...”,Marcel Aymé,Lucienne et le boucher,"Patience, Colere",,
"“Conférencier. Homme qui met sa main dans sa poche, sa langue dans votre oreille et sa foi dans votre patience.”",Ambrose Bierce,Le dictionnaire du Diable,Patience,,
“La victoire s'use par ses excès ; on ne réussit véritablement qu'à force de patience défaite.”,Alexandre Arnoux,Faut-il brûler Jeanne ?,Patience,,
