Citations,Auteur,Source,Thèmes,Nombre d'avis,Notes
"“Il ne faut pas lier un navire à une seule ancre, ni une vie à un seul espoir.”",Epictète,,Espoir,,
"“L’humour, que l’on dit la politesse du désespoir, est également la pollution de l’espoir.”",Jacques Sternberg ,,Espoir,4,3
"“Si parfois certains vous copient, ce n'est que dans l'espoir de vous ressembler un jour.”",Anonyme,,Espoir,,
“Chaque arbre est le symbole vivant de la paix et de l'espoir.”,Wangari Muta Maathai,,Espoir,,
"“Malheur à celui qui, au milieu de la jeunesse, s'abandonne à un amour sans espoir.”",Alfred de Musset,Les Caprices de Marianne,Espoir,,
"“J'aime passionnément le mystère, parce que j'ai toujours l'espoir de le débrouiller.”",Charles Baudelaire,Le Spleen de Paris,Espoir,13,4
"“Le plus grand malheur de l'homme, c'est un mariage heureux. Aucun espoir de divorce.”",Milan Kundera,Risibles amours,Espoir,,
“Le pharmacien est un marchand d'espoir aussi bien pour les héritiers que pour le malade.”,André Prévot,,Espoir,,
"“Nos biens sont en idée, en espoir, en désir ;. Posséder ce qu'on veut, est la fin du plaisir.”",Saint Evremond,Discours,Espoir,,
"“La justice sociale se fonde sur l’espoir, sur l’exaltation d’un pays, non sur les pantoufles.”",Charles de Gaulle,,Espoir,,
“Si tu ne brises pas tes liens pendant la vie. Quel espoir de délivrance auras-tu dans la mort ?”,Kabir,Bijak,Espoir,,
“L'espoir est bien court qui n'occupe que l'espace d'un rêve.”,Marguerite Beaudry,Le Rendez-vous de Samarcande,Espoir,,
"“Au coeur de l'incertitude il y a toujours l'espoir, si fragile soit-il.”",Robert Choquette,Elise Velder,Espoir,,
"“Conserve, si tu y tiens, l'espoir sans garantie qu'un jour tes enfants feront mieux que toi.”",Louis Bilodeau,Belle et grave,Espoir,,
“Après tout l'espoir c'est peut-être d'aimer ce qui nous manque.”,Jacques Garneau,Mémoires de l'oeil,Espoir,,
“Mes mains dessinent dans le soir la forme d'un espoir qui ressemble à ton corps.”,Pierre Delanoë,,Espoir,,
“On ne parvient à la sérénité que lorsqu'on a banni l'espoir de sa vie.”,Gilles Archambault,Le voyageur distrait,Espoir,,
"“L'espoir est une cloche sans battant, dont la corde est aux mains de l'ignorance.”",André Blanchard,Glossaire incongru,Espoir,5,3
“Comment veux-tu que je connaisse le désespoir puisque je n'ai jamais connu l'espoir ?”,Anonyme,,Espoir,,
“Plaideur. Personne qui se prépare à abandonner sa peau dans l'espoir de sauver ses os.”,Ambrose Bierce,Le dictionnaire du diable,Espoir,,
"“On doit continuer à chercher pour trouver. Quand le soleil se perd dans la nuit, l’espoir guette un reflet.”",Louise Gélinas ,,Espoir,2,5
"“Quand on a rien à faire, regarder ce qui se passe dans la rue est le dernier espoir.”",William Sutcliffe,Sous influence,Espoir,,
